Date,Open,High,Low,Close,Adj Close,Volume
2001-08-29,195000,198500,193000,196500,172363.75,382700
2001-08-30,192000,197000,192000,196000,171925.125,251700
2001-08-31,193000,194000,187500,190000,166662.125,516900
2001-09-03,190500,191000,187500,188000,164907.8281,209000
2001-09-04,188000,197000,187500,196500,172363.75,375500
2001-09-05,192000,192500,187500,189500,166223.6094,420400
2001-09-06,190000,192500,188000,188500,165346.375,349800
2001-09-07,188000,191000,184500,191000,167539.2813,456700
2001-09-10,188500,191500,186500,191500,167977.9063,280000
2001-09-11,190000,192500,186000,187000,164030.6406,316200
2001-09-12,160000,173000,160000,161500,141662.8281,1699400
2001-09-13,168000,173000,166000,171500,150434.4688,1194900
2001-09-14,172000,172500,164500,169500,148680.125,663500
2001-09-17,165000,168000,162000,164000,143855.75,569000
2001-09-18,169500,170000,165000,167500,146925.8281,497400
2001-09-19,165000,167000,163000,164000,143855.75,431100
2001-09-20,160000,160000,151500,154000,135084.0469,1227600
2001-09-21,145000,147000,139500,142500,124996.6094,1308300
2001-09-25,153000,153500,143000,143000,125435.1875,841300
2001-09-26,141000,143500,139500,141500,124119.4219,665500
2001-09-27,138000,140500,134000,140500,123242.25,730000
2001-10-04,150000,150000,143000,145500,127628.0859,1298500
2001-10-05,146000,148500,143500,147500,129382.4453,800700
2001-10-08,147000,148000,144500,146000,128066.6641,398700
2001-10-09,148000,153000,148000,151500,132891.1094,792600
2001-10-10,149500,150500,148000,149000,130698.1797,337100
2001-10-11,154000,160000,153500,159000,139469.9063,1163400
2001-10-12,166000,167000,162500,163000,142978.5469,945300
2001-10-15,160000,162000,159000,160000,140347.0469,348500
2001-10-16,158000,161500,158000,159000,139469.9063,312400
2001-10-17,163000,165000,161500,164000,143855.75,571900
2001-10-18,161500,163000,158500,163000,142978.5469,437000
2001-10-19,165000,170500,163000,170000,149118.75,831100
2001-10-22,173000,173500,166500,169500,148680.125,374600
2001-10-23,175000,176500,172500,174000,152627.4375,791600
2001-10-24,178000,185500,177500,185500,162714.875,1122300
2001-10-25,185000,185000,181000,183000,160521.9531,552200
2001-10-26,183000,184500,179000,181000,158767.6094,956400
2001-10-29,183000,185000,180500,184000,161399.1563,509600
2001-10-30,177000,179000,173500,174000,152627.4375,676500
2001-10-31,170500,174000,170500,173500,152188.8281,579600
2001-11-01,177000,181500,174000,179000,157013.25,685900
2001-11-02,181500,183500,181500,183000,160521.9531,758400
2001-11-05,183500,185000,181000,185000,162276.2656,603600
2001-11-06,189000,191500,188000,190000,166662.125,1060200
2001-11-07,191000,191500,188500,190500,167100.7188,885300
2001-11-08,190500,193500,190000,193000,169293.6094,752000
2001-11-12,200500,202500,196500,200000,175433.8438,470000
2001-11-13,196000,200000,195000,200000,175433.8438,600200
2001-11-14,205000,215000,203000,215000,188591.3906,1500600
2001-11-15,210500,214500,207500,209500,183766.9063,725500
2001-11-16,208000,209500,203500,209000,183328.3438,715900
2001-11-19,205000,220000,205000,218500,191661.4688,786300
2001-11-20,220000,223000,213500,213500,187275.625,753900
2001-11-21,208000,215000,207500,211000,185082.6875,668600
2001-11-22,211500,216000,208000,216000,189468.5469,351900
2001-11-23,217000,222500,215000,222000,194731.5313,547400
2001-11-26,223500,231000,223500,230000,201748.8906,759800
2001-11-27,232000,233000,228500,231000,202626.0625,839200
2001-11-28,227000,230000,217500,219000,192100.0625,594000
2001-11-29,214500,224500,208500,210000,184205.4844,1065300
2001-11-30,223000,223000,216500,218000,191222.875,624600
2001-12-03,221500,225000,214500,224500,196924.4531,657200
2001-12-04,226500,230500,222000,230000,201748.8906,654800
2001-12-05,238000,264500,237000,264500,232011.2344,2302600
2001-12-06,278000,293000,267500,275000,241221.5,2292600
2001-12-07,270000,286500,266500,283500,248677.4063,1174100
2001-12-10,279000,279000,258500,260000,228063.9688,1305600
2001-12-11,252000,259500,248500,258500,226748.2188,1052500
2001-12-12,258000,271000,251500,270000,236835.6563,1077900
2001-12-13,270000,271500,261000,265000,232449.7969,1275300
2001-12-14,255500,261500,254500,255000,223678.0781,930200
2001-12-17,250500,257500,246000,250500,219730.8438,825100
